final_logins_m_1,final_logins_m_2,final_logins_m_3,final_kudos_t_m_1,final_kudos_t_m_2,final_kudos_t_m_3,final_kudos_f_m_1,final_kudos_f_m_2,final_kudos_f_m_3,final_kpi_m_1,final_kpi_m_2,final_kpi_m_3,final_lrn_m_1,final_lrn_m_2,final_lrn_m_3,final_lrn_t_m_1,final_lrn_t_m_2,final_lrn_t_m_3,target,Trend_logins_1,Trend_logins_2,Trend_kudos_t_m_1,Trend_kudos_t_m_2,Trend_kudos_f_m_1,Trend_kudos_f_m_2,Trend_kpi_m_1,Trend_kpi_m_2,Trend_lrn_m_1,Trend_lrn_m_2,Trend_lrn_t_m_1,Trend_lrn_t_m_2
0.23132751,0.089276847,0.181847317,0.096774194,0.042553191,0,0.027027027,0.009852217,0.007936508,0.16442953,0.154345809,0.14,0.273856351,0.098036644,0.146666667,0.291338583,0.105526879,0.018382353,0,-0.142050663,0.09257047,-0.054221002,-0.042553191,-0.01717481,-0.001915709,-0.010083721,-0.014345809,-0.175819707,0.048630023,-0.185811704,-0.087144526
0.105854554,0.056394754,0.134835764,0.129032258,0.085106383,0.125,0,0,0,0.094295302,0.056603774,0.05275,0.156727604,0.164898746,0.121756667,0.107611549,0.163086995,0.136029412,0,-0.049459801,0.07844101,-0.043925875,0.039893617,0,0,-0.037691528,-0.003853774,0.008171143,-0.04314208,0.055475446,-0.027057583
0.060495786,0.034965974,0.066593186,0,0,0,0,0,0,0.059060403,0.03959171,0.02975,0.112220586,0.090310511,0.068193333,0.170603675,0.249427169,0.238970588,0,-0.025529813,0.031627212,0,0,0,0,-0.019468692,-0.00984171,-0.021910075,-0.022117178,0.078823494,-0.01045658
0.1353083,0.086690615,0.187155073,0.225806452,0.255319149,0.3125,0.096525097,0.098522167,0.142857143,0.166442953,0.134240643,0.0625,0.131346387,0.10109161,0.087836667,0.236220472,0.513244366,0.330882353,0,-0.048617685,0.100464458,0.029512697,0.057180851,0.001997071,0.044334975,-0.03220231,-0.071740643,-0.030254777,-0.013254944,0.277023894,-0.182362013
0.147678873,0.070434299,0.125736753,0.677419355,0.255319149,0.15625,0.061776062,0.024630542,0,0.087919463,0.066192391,0.0415,0.14824987,0.150433944,0.111346667,0.128608924,0.206257082,0.169117647,0,-0.077244574,0.055302454,-0.422100206,-0.099069149,-0.03714552,-0.024630542,-0.021727072,-0.024692391,0.002184074,-0.039087277,0.077648158,-0.037139435
0.092894906,0.034596512,0.011999123,0,0,0,0,0,0,0.023489933,0.010207238,0.025,0.254552937,0.091980714,0.133333333,0.125984252,0.062356792,0.003676471,0,-0.058298394,-0.022597388,0,0,0,0,-0.013282695,0.014792762,-0.162572224,0.04135262,-0.06362746,-0.058680322
0.081702483,0.020187505,0.015790378,0,0,0,0,0,0,0.051006711,0.015465512,0.0085,0.132004852,0.111089682,0.117333333,0.141732283,0.047966763,0.044117647,0,-0.061514978,-0.004397127,0,0,0,0,-0.0355412,-0.006965512,-0.02091517,0.006243652,-0.09376552,-0.003849116
0.101141955,0.067848067,0.214452104,0.032258065,0.021276596,0.1875,0.065637066,0.098522167,0.166666667,0.195637584,0.154345809,0.1165,0.174458499,0.052285439,0.172,0.031496063,0.05276344,0.029411765,0,-0.033293888,0.146604037,-0.010981469,0.166223404,0.032885102,0.068144499,-0.041291775,-0.037845809,-0.122173061,0.119714561,0.021267377,-0.023351675
0.086415082,0.050852828,0.098439722,0.032258065,0,0,0,0,0,0.04295302,0.050108259,0.01775,0.111159244,0.089681774,0.06641,0.196850394,0.388530782,0.213235294,0,-0.035562254,0.047586894,-0.032258065,0,0,0,0.007155238,-0.032358259,-0.02147747,-0.023271774,0.191680388,-0.175295488
0.134719225,0.07486784,0.143176523,0.225806452,0.234042553,0.40625,0.038610039,0.073891626,0.150793651,0.087919463,0.110733065,0.04425,0.203751516,0.161041466,0.129246667,0.099737533,0.23503714,0.169117647,0,-0.059851385,0.068308683,0.008236102,0.172207447,0.035281587,0.076902025,0.022813602,-0.066483065,-0.04271005,-0.031794799,0.135299607,-0.065919493
